發生時間,發生地點,死亡受傷人數,車種,經度,緯度
110年01月26日 12時22分00秒,基隆市信義區基隆市信義區壽山路路段上,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.758280,25.133091
110年01月26日 14時45分00秒,屏東縣枋山鄉台1線 457公里800.0公尺處北側向路肩,死亡1;受傷2,自用-小客車;乘客-人;乘客-人,120.652989,22.261031
110年01月26日 14時48分00秒,彰化縣二林鎮後厝里新華巷前0.0公尺,死亡1;受傷0,普通重型-機車,120.395753,23.904944
110年01月26日 17時09分00秒,臺南市西港區南41線3.6公里處南下一般車道,死亡1;受傷1,普通重型-機車;普通重型-機車,120.180324,23.116953
110年01月26日 18時50分00秒,臺東縣東河鄉台11線 147公里東側向內側,死亡1;受傷3,自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);乘客-人;乘客-人,121.210765,22.865030
110年01月27日 08時28分00秒,新竹縣竹北市國道1號 91公里500.0公尺處北側向外側,死亡1;受傷1,營業用-大貨車;自用-小貨車(含客、貨兩用);營業用-半聯結車;自用-小客車;自用-小客車;自用-小貨車(含客、貨兩用);乘客-人,121.021903,24.833369
110年01月27日 09時35分21秒,雲林縣西螺鎮大園里光復東路108號前,死亡1;受傷0,營業用-曳引車;普通重型-機車;其他人-人,120.475290,23.797479
110年01月27日 10時06分00秒,新北市土城區新北市土城區中央路2段與員福街,死亡1;受傷0,營業用-曳引車;腳踏自行車-慢車,121.442174,24.978288
110年01月27日 11時12分00秒,新竹市東區研新一路與研新四路,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人,120.986875,24.777785
110年01月27日 11時12分08秒,苗栗縣苗栗市國華路1212號前,死亡1;受傷0,營業用-曳引車;普通重型-機車;自用-小客車,120.813420,24.561377
110年01月27日 11時13分28秒,苗栗縣竹南鎮苗3線電線桿(尖筆幹86AD8671BB36)附近,死亡1;受傷3,自用-小客車;自用-小客車;乘客-人;乘客-人,120.898904,24.726329
110年01月27日 11時57分00秒,彰化縣北斗鎮中寮里斗苑路2段 / 彰化縣北斗鎮中寮里光前路,死亡1;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人,120.504903,23.880126
110年01月27日 17時17分24秒,雲林縣元長鄉雲169鄉道與中山路9巷路口,死亡1;受傷0,自用-小客車;普通重型-機車,120.306344,23.647980
110年01月28日 08時15分00秒,高雄市路竹區順安路 / 高雄市路竹區無名路,死亡1;受傷1,普通重型-機車;普通重型-機車,120.238900,22.838020
110年01月28日 10時07分00秒,嘉義縣朴子市竹村里台19線87.2公里與產業道路口,死亡1;受傷0,自用-大貨車;普通重型-機車,120.246290,23.436257
110年01月28日 15時16分25秒,臺南市新市區國道8號 9公里400.0公尺處西側向交流道,死亡1;受傷0,營業用-半聯結車,120.277306,23.065320
110年01月28日 15時55分00秒,宜蘭縣員山鄉內城村員山路2段東側 / 宜蘭縣員山鄉內城村惠民路北側,死亡1;受傷1,自用-大貨車;普通重型-機車;乘客-人,121.709024,24.722923
110年01月29日 05時52分00秒,新北市五股區新北市五股區疏洪一路與疏洪六路,死亡1;受傷0,普通重型-機車,121.458371,25.075385
110年01月29日 09時12分00秒,彰化縣秀水鄉鶴鳴村馬鳴路 / 彰化縣秀水鄉鶴鳴村彰鹿路,死亡1;受傷2,自用-小客車;普通重型-機車;普通重型-機車,120.503701,24.059030
110年01月29日 11時24分00秒,臺北市北投區福國路前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-曳引車;自用-小貨車(含客、貨兩用),121.522520,25.102945
110年01月29日 16時12分30秒,屏東縣萬丹鄉廣安村萬丹路2段口 / 屏東縣萬丹鄉廣安村廣維路口,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.487496,22.606213
110年01月29日 18時39分33秒,苗栗縣竹南鎮台61線 93.6公里南側向機、慢車道,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.867431,24.704208
110年01月30日 02時22分00秒,新北市三芝區新北市三芝區淡金公路(四棧橋39-1號),死亡2;受傷0,自用-小客車;自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);其他人-人;自用-小貨車(含客、貨兩用);乘客-人,121.502434,25.259345
